hts_code,category,month,country,general_imports_usd,consumption_imports_usd,scope_note
8516.29.0090,Other electric space heating apparatus,2026-07,Finland,16050280,16050280,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Cambodia,10586064,10586064,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Vietnam,9028920,9028920,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Portugal,5018000,5018000,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Japan,4477360,4076448,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Bulgaria,4353208,2066536,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Thailand,3906400,3906400,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Germany,3489840,3489840,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,"Korea, South",3445896,3445896,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,United Kingdom,2579248,2579248,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,France,1253968,1253968,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,India,1108656,1192528,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Sweden,633840,633840,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Colombia,554336,554336,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Estonia,245384,245384,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Switzerland,181752,181752,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,New Zealand,160384,160384,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Turkey,93440,93440,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Czechia,82384,82384,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Norway,63416,25200,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Taiwan,51512,51512,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Brazil,47048,47048,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Netherlands,43952,43952,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Austria,23256,23256,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Belgium,17936,17936,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Denmark,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Ireland,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Poland,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Ukraine,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Spain,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Slovenia,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Romania,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Malaysia,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Indonesia,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Hong Kong,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,Australia,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,South Africa,0,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.79.0000,Other domestic electrothermic appliances,2026-07,China,1179636992,1181240544,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Mexico,72620360,72620360,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Vietnam,47094392,48872832,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Japan,27811352,27811352,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,India,25386256,25325736,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Thailand,18183296,18381448,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Indonesia,10705320,15401200,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,"Korea, South",7390880,7390880,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Cambodia,6658008,6658008,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Taiwan,5844904,5766912,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Germany,5591528,5652328,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Malaysia,5128264,5128264,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,France,3609584,3609584,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Canada,3160112,3160112,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Italy,2758248,2758248,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Philippines,2358240,2358240,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,United Kingdom,1885328,1885328,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,New Zealand,1302384,1302384,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,South Africa,1277208,1277208,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Finland,920400,920400,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Ukraine,552464,552464,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Poland,532984,532984,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Romania,286160,286160,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Turkey,179376,179376,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Austria,153640,153640,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Hong Kong,147160,147160,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Australia,121048,121048,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Spain,110096,110096,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Slovenia,95216,95216,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Belgium,91072,91072,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Slovakia,85616,85616,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Switzerland,35064,35064,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Portugal,21768,21768,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Costa Rica,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Sweden,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Norway,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Netherlands,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Czechia,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Hungary,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Estonia,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Latvia,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Lithuania,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,North Macedonia,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Saudi Arabia,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,United Arab Emirates,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Afghanistan,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Singapore,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,Cameroon,0,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
