hts_code,category,month,general_imports_usd,consumption_imports_usd,general_ytd_usd,consumption_ytd_usd,census_last_update,scope_note
9406.10.0000,Prefabricated buildings of wood,2024-08,165146720,165146720,1179311664,1179311664,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-09,165554904,165554904,1344866568,1344866568,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-10,225268256,225268256,1570134824,1570134824,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-11,172728952,172728952,1742863776,1742863776,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2024-12,151639616,151639616,1894503392,1894503392,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-01,150859048,150859048,150859048,150859048,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-02,172731816,172731816,323590864,323590864,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-03,196758208,196758208,520349072,520349072,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-04,153705696,153705696,674054768,674054768,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-05,162824128,162824128,836878896,836878896,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-06,185519416,185519416,1022398312,1022398312,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-07,179963008,179963008,1202361320,1202361320,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-08,204239824,204239824,1406601144,1406601144,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-09,176263488,176263488,1582864632,1582864632,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-10,216130944,216130944,1798995576,1798995576,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-11,128484352,128484352,1927479928,1927479928,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2025-12,137415224,137415224,2064895152,2064895152,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-01,154782120,154782120,154782120,154782120,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-02,170409864,170409864,325191984,325191984,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-03,181858272,181858272,507050256,507050256,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-04,177780272,177780272,684830528,684830528,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-05,254658592,254658592,939489120,939489120,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-06,192503640,192503640,1131992760,1131992760,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
9406.10.0000,Prefabricated buildings of wood,2026-07,212474776,212474776,1344467536,1344467536,0,"Broad proxy category. It includes wooden prefabricated buildings other than saunas, so category totals must not be represented as sauna-only imports."
8516.29.0090,Other electric space heating apparatus,2023-08,306374688,303471680,1611170864,1603066712,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2023-09,325120280,320161832,1936291144,1923228544,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2023-10,269769808,268566128,2206060952,2191794672,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2023-11,228085984,227487616,2434146936,2419282288,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2023-12,246095336,245513952,2680242272,2664796240,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-01,222063936,220392320,222063936,220392320,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-02,201484136,194882072,423548072,415274392,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-03,208901360,202478400,632449432,617752792,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-04,188778144,181923984,821227576,799676776,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-05,206615040,199411840,1027842616,999088616,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-06,218629656,212643880,1246472272,1211732496,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-07,231685360,226424616,1478157632,1438157112,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-08,308527856,305185568,1786685488,1743342680,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-09,335639344,330349056,2122324832,2073691736,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-10,366595616,361050480,2488920448,2434742216,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-11,338142072,331883552,2827062520,2766625768,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2024-12,317575360,314017184,3144637880,3080642952,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-01,266049824,261025296,266049824,261025296,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-02,208701720,202340384,474751544,463365680,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-03,251803648,244615824,726555192,707981504,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-04,240614928,239444512,967170120,947426016,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-05,255051096,254771944,1222221216,1202197960,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-06,212301024,211674048,1434522240,1413872008,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-07,291972696,288495912,1726494936,1702367920,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-08,249666952,245257624,1976161888,1947625544,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-09,281044680,278202096,2257206568,2225827640,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-10,305228120,303720072,2562434688,2529547712,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-11,250367864,249303392,2812802552,2778851104,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2025-12,206211432,205353840,3019013984,2984204944,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-01,209206088,206669576,209206088,206669576,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-02,212959136,210694088,422165224,417363664,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-03,228670632,229639784,650835856,647003448,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-04,181155928,177762816,831991784,824766264,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-05,208485584,205279128,1040477368,1030045392,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-06,159808216,158886128,1200285584,1188931520,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.29.0090,Other electric space heating apparatus,2026-07,231031976,228352704,1431317560,1417284224,0,Broad proxy category. It includes electric space-heating equipment other than sauna heaters.
8516.79.0000,Other domestic electrothermic appliances,2023-08,1430168168,1394260888,9008868024,8914848608,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2023-09,1633361912,1639696016,10642229936,10554544624,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2023-10,1825708072,1858049520,12467938008,12412594144,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2023-11,1594050176,1604122104,14061988184,14016716248,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2023-12,1450944232,1446014016,15512932416,15462730264,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-01,1522992056,1521366904,1522992056,1521366904,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-02,1288259680,1291325536,2811251736,2812692440,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-03,1016621808,1011779408,3827873544,3824471848,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-04,1191140752,1168027544,5019014296,4992499392,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-05,1335272336,1322722608,6354286632,6315222000,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-06,1413595192,1396188568,7767881824,7711410568,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-07,1615214624,1614184136,9383096448,9325594704,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-08,1819438552,1823169888,11202535000,11148764592,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-09,2128637688,2122379344,13331172688,13271143936,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-10,2040858200,2037900472,15372030888,15309044408,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-11,1929577744,1939581088,17301608632,17248625496,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2024-12,1550786392,1542712488,18852395024,18791337984,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-01,1596986280,1586858392,1596986280,1586858392,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-02,1385220656,1404524792,2982206936,2991383184,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-03,1159223208,1170697176,4141430144,4162080360,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-04,1134391512,1142477376,5275821656,5304557736,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-05,789795432,802654808,6065617088,6107212544,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-06,851106408,865405064,6916723496,6972617608,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-07,1333725120,1275306440,8250448616,8247924048,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-08,1366200104,1328679584,9616648720,9576603632,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-09,1394614992,1396172648,11011263712,10972776280,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-10,1693256568,1711906144,12704520280,12684682424,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-11,1384385144,1405219208,14088905424,14089901632,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2025-12,1192084816,1193568560,15280990240,15283470192,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-01,1262291760,1242002400,1262291760,1242002400,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-02,1134985880,1112624944,2397277640,2354627344,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-03,1000688776,982962832,3397966416,3337590176,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-04,887370688,880177320,4285337104,4217767496,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-05,1171345528,1168125040,5456682632,5385892536,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-06,1238512304,1287779456,6695194936,6673671992,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
8516.79.0000,Other domestic electrothermic appliances,2026-07,1431734720,1439933032,8126929656,8113605024,0,Broad proxy category. It includes domestic electrothermic appliances other than portable infrared saunas.
